workerCounter,assignmentId,workerId,hitId,trial type,set,global index,reaction time,response1,response2,responseLoc1,responseLoc2,stimulus1,stimulus2,stimulus3
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,3,999,188,2653,183,183,true,true,183,183,195
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,189,3351,6,1,1,2,7,6,1
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,190,1827,6,1,0,2,6,4,1
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,191,1920,4,3,1,2,5,4,3
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,192,2050,7,4,1,2,5,7,4
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,193,2303,3,2,1,2,5,3,2
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,194,1648,5,1,1,0,1,5,6
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,195,1626,4,7,0,2,4,1,7
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,196,1952,6,1,2,1,3,1,6
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,197,1838,7,3,1,0,3,7,5
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,198,1931,3,4,1,2,1,3,4
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,199,1710,3,7,0,2,3,1,7
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,200,2030,3,4,0,1,3,4,6
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,201,4026,1,5,1,2,7,1,5
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,202,3004,7,4,1,2,2,7,4
